Text,CreatedAt
"Newman Nyamhuri and Sikandar Raza take three wickets apiece to bundle Afghanistan out on a rain-hit Day 1 👊

📝 #ZIMvAFG: https://t.co/VcoJQWXsxW | 📸: @ZimCricketv https://t.co/ys2vAY9Gfq",2025-01-02 16:33:51+00:00
"South Africa's coach stands firm, defending his team's spot in the #WTC25 Final amidst criticism.

#SAvPAK

https://t.co/I1YwoFhgd1",2025-01-02 14:26:40+00:00
"Final preparations in the nets as India gear up for the Sydney Test 🏏

#WTC25 | #AUSvIND https://t.co/nesskgNMs6",2025-01-02 13:05:31+00:00
"Ravi Shastri makes a case for this talented batter to be made a fixture in India’s playing XI.

More on the #ICCReview 👇
https://t.co/8u2kKdtVwg",2025-01-02 12:19:12+00:00
"Are your favourite players nominated for the ICC Awards 2024?

Find out and vote now 👇
https://t.co/AJtlVNMdvu",2025-01-02 09:53:35+00:00
"Former India head coach Ravi Shastri has his say on Rohit Sharma's future.

More from the #ICCReview 👇
https://t.co/01ttbYgpn6",2025-01-02 07:06:47+00:00
"All eyes on Sydney with India's skipper no certainty for the final #AUSvIND Test 🏏

More 📝 https://t.co/04NQMoEMJh https://t.co/8B7hUHLZUE",2025-01-02 06:15:13+00:00
"Extra intrigue ahead of the #AUSvIND finale 👀

Gautam Gambhir reluctant to confirm captain Rohit Sharma's spot in Sydney 👇

#WTC25

https://t.co/l4vo8U4o2A",2025-01-02 05:08:29+00:00
"Sri Lanka hold on in a high-scoring Nelson encounter 🙌

#NZvSL 📝 https://t.co/s2MXFyZ9cl https://t.co/kr1uKMHpjJ",2025-01-02 04:29:59+00:00
"The business end in Sydney 🏟

How the SCG #AUSvIND Test shapes the #WTC25 Final race 🏏

https://t.co/1Nzr3YOGri",2025-01-02 04:02:08+00:00
"Another Test debutant for Australia 👀

More from #AUSvIND 👉 https://t.co/F3H5aC65gX

#WTC25 https://t.co/25QfyB2yZc",2025-01-02 02:29:14+00:00
"A massive selection call with #AUSvIND series honours and #WTC25 points on the line 👀

More from Sydney 👇

https://t.co/gCjjzFNDNH",2025-01-02 00:17:22+00:00
"The Sydney #AUSvIND Test match will feature the highest-rated India bowler ever in the format 👀

More from #WTC25 📝

https://t.co/YFXDQOI6v9",2025-01-01 23:23:07+00:00
"Alex Carey believes Australia have ticked all the boxes defending their World Test Championship crown 🏏

#AUSvIND 🗣️: https://t.co/wwNe5549lZ

#WTC25 https://t.co/3DJO6wCMKl",2025-01-01 18:00:27+00:00
"🔹Jansen makes a big leap
🔹Smith &amp; Shakeel soar among batters
🔹Cummins with significant gains as all-rounder 

The latest ICC Men’s Rankings feature multiple movers from the #AUSvIND and #SAvPAK Tests ➡️ https://t.co/6dFVjDNryU https://t.co/shuRZ5AA53",2025-01-01 16:30:11+00:00
"Jasprit Bumrah surpassed some of the all-time greats during the recently concluded Boxing Day Test 👏

More here 👉 https://t.co/t03gzSqpnM

#AUSvIND https://t.co/XGkRoNSuKn",2025-01-01 15:00:11+00:00
"Eleven out of 16 sides have named their squads for the upcoming Women's U19 T20 World Cup 2025 👀

Details ⬇

https://t.co/pa5LT2te4w",2025-01-01 13:30:13+00:00
"Australia are looking to seal the #WTC25 deal in Sydney 👊

#AUSvIND

https://t.co/zKFfpFFUxr",2025-01-01 09:46:45+00:00
"India star smashes rankings record after Boxing Day Test exploits 💪

https://t.co/EzHceJFkxZ",2025-01-01 08:08:52+00:00
"Standing together with the McGrath Foundation for breast cancer awareness.

The Australia camp ahead of the iconic Pink Test in Sydney 😀

#AUSvIND #WTC25 https://t.co/vhP7p8gViM",2025-01-01 06:39:04+00:00
"Ahead of the last game in Sydney, Jasprit Bumrah is six wickets away from the all-time India record for most wickets in a Test series 🤩

#WTC25 | #AUSvIND https://t.co/4XWR70rDbG",2025-01-01 04:52:26+00:00
"A win to savour for Pat Cummins' Australia at the end of 2024 👏

#AUSvIND #WTC25

More ➡ https://t.co/TtcXCKzJNO https://t.co/6ynoKMfPph",2025-01-01 03:30:21+00:00
"Hayley Matthews receives a massive boost as star performers make significant gains in the latest ICC Women's Rankings 🙌

More ➡️ https://t.co/eft4hfKgc4 https://t.co/XAmXckTvBG",2024-12-31 17:30:11+00:00
"A selectorial punt that paid off well for Australia 👏

#AUSvIND | #WTC25 ➡ https://t.co/vbBvWOWsT7 https://t.co/VqIOMGGfXK",2024-12-31 15:30:29+00:00
"Pat Cummins is confident Mitchell Starc will shake off injury concerns ahead of the Sydney Test 👊

#WTC25 | #AUSvIND | ✍: https://t.co/OQpxdoFHz5 https://t.co/OjhuEnydgU",2024-12-31 10:00:10+00:00
"Important gains for India and West Indies performers in the Women's ODI Rankings 👏

https://t.co/54T49dKq8I",2024-12-31 08:05:38+00:00
"RT @JayShah: The countdown is on for the return of the @ICC #ChampionsTrophy starting in February, where every match has high stakes. https…",2024-12-31 07:40:27+00:00
"Even surprising his bosses 😅

Australia coach on Sam Konstas' first impression, while a fast bowler's fitness is examined for Sydney 🔍 

#WTC25 | #AUSvIND

https://t.co/mziz8RVAx7",2024-12-31 06:34:05+00:00
"Nathan Lyon's match-sealing wicket in Melbourne moves him up a run in the Test wickets list 👀

More 👉 https://t.co/5AylJvPAMX 

#AUSvIND #WTC25 https://t.co/SY9gghVLd9",2024-12-31 04:32:01+00:00
"Talk about skipper leading from the front 👏©

#WTC25 | #AUSvIND ✍: https://t.co/rAoJWwveZO https://t.co/3PivpFuNvH",2024-12-31 03:59:40+00:00
"Accountability from India's skipper ahead of their final Sydney push 🗣

More from #AUSvIND 👉 https://t.co/WNyyxeGu6t

#WTC25 https://t.co/fgTGrPcokF",2024-12-31 02:24:18+00:00
"Who will join South Africa in the #WTC25 Final?

The run home for the three teams in the race to Lord's 🏏

https://t.co/01EI6VN2mj",2024-12-31 01:27:58+00:00
"Nominees of all nine categories revealed 👀

Your guide to the 2024 #ICCAwards 🏅

https://t.co/Ik2Ehfwmph",2024-12-31 00:06:36+00:00
"A nail-biting thriller that was too tough to handle even for the South Africa skipper 😂

#SAvPAK #WTC25

✍: https://t.co/xlCGM9tvJ2 https://t.co/jxOB1Wdt28",2024-12-30 18:00:31+00:00
